건강한 사람들의 RRIs에 대한 MCRDE 표준편차값(index=scale).
	0
1	1.7007891307489804
2	3.1036269811768427
3	3.7196499483637395
4	5.108942738639441
5	5.44743606160998
6	5.22925225993255
7	5.593701563458772
8	6.185133362324345
9	5.498159003455336
10	6.098158368455452
11	6.377740967245035
12	5.945091769119766
13	6.260670004020041
14	5.905677010592721
15	5.739426472734531
16	6.2757492956697
17	6.188273435362165
18	6.586808373781104
19	6.472664944480716
20	6.250603970226826
21	6.677309108679773
22	6.398648808484306
23	6.391840755261182
24	6.64428816184626
25	5.945331420432767
